"poetID","NameHZ","NamePY","HaoHZ","HaoPY","ZiHZ","ZiPY","OtherZiHaoHZ","OtherZiHaoPY","MaritalStatus","Notes","Sex","LifeSpan","StartYear","EndYear","EthnicGroup","MainWorks","ispoet","HuWenKai","zhuLu","xuZuoZhe","baZuoZhe"
627,"葉氏(趙贊元妻)","Ye shi (Zhao Zanyuan qi)","","","","","","","正室","葉宛西女，諸生趙贊元室。","女","清",1644,1911,"漢","《友琴軒詩集》",1,"688","杭州府志﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
628,"楊雪娥","Yang Xuee","","","","","","","","","女","清",1644,1911,"漢","",1,"","國朝閨秀正始集","",""
629,"方可","Fang Ke","","","青君","Qingjun","","","","","女","清",1644,1911,"漢","《白沙翠竹集》",1,"222","擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","沈大成序",""
630,"張瑛","Zhang Ying","","","玉英","Yuying","","","","張良御妹。《閨秀詞鈔》註其為符驤妹。所引《眾香詞》註﹐瑛大父為復社成員爾弼公﹐父野仙﹐兄中山﹐從兄良御﹐與家仲達人孝廉交善。","女","清",1644,1911,"漢","",1,"","（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集","",""
631,"盧御鎮","Lu Yuzhen","","","靜宜","Jingyi","","","","朱象春室。","女","清",1644,1911,"漢","",1,"","國朝閨秀正始集","",""
632,"胡瑗","Hu Yuan","","","畹如","Wanru","","","","鄭于雅室。","女","清",1644,1911,"漢","",1,"","本朝名媛詩鈔﹐國朝閨秀正始集","",""
633,"彭琰","Peng Yan","婉珠","Wanzhu","幼玉","Youyu","","","正室","御史彭宗孟女﹐進士彭期生(观我)妹，進士朱作鵬(又作朱化鵬)室。姊琬字玉瑛﹐亦能詩。姊妹人稱雙璧。按明史列傳彭期生有傳。杭州府志又作彭幼玉遺集一卷。","女","明萬歷清順治",1573,1661,"漢","《閒窗集》",1,"628","西湖閨詠﹐杭州府志﹐本朝名媛詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集，名媛詩緯初編","",""
634,"陳素素","Chen Susu","竹西女子","Zhuxinüzi","","","二分明月女子","Erfenmingyuenüzi","妓﹐妾","萊陽姜學在妾。","女","清初",1640,1720,"漢","《二分明月集》",1,"588","重修揚州府志﹐擷芳集﹐柳絮集﹐本朝名媛詩鈔﹐秦樓月傳奇﹐國朝閨秀正始集﹐青樓詩話﹐小黛軒論詩詩﹐女世說","龔靜照評﹐王端淑評﹐松陵女史評","龐蕙纕﹐錢鳳綸﹐張學典﹐龔靜照﹐姜倩﹐徐昭華﹐商彩﹐馮嫻﹐顧姒﹐朱玉樹﹐林以寧﹐卓燕祥﹐王端淑﹐邵斯貞﹐吳文柔﹐柳人月﹐張蘋﹐張蘩﹐蘇蕙卿題詠"
635,"堃秀","Kunxiu","","","","","","","正室","輕車部尉佛隆峩室，侍郎德齡母。按德齡，姓鈕祜祿氏，滿洲鑲黃旗人。康熙五十四年進士。","女","清康熙",0,0,"滿","",1,"","國朝閨秀正始集","",""
636,"王瑤湘","Wang Yaoxiang","逍遙居士","Xiaoyaojushi","","","","","正室﹐寡婦","諸生王阜女，李孝先室﹐早寡。 小黛軒論詩詩作番禺人。","女","清",1644,1911,"漢","《消遙樓詩》",1,"245","擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
637,"袁寒篁","Yuan Hanhuang","","","青湘","Qingxiang","","","","布衣袁玉屏女。又據《閨秀詞鈔》﹐袁為正平女﹐有《綠窗詞》。 小黛軒論詩詩作松仁人。","女","清",1644,1911,"漢","《綠窗小草》",1,"492","擷芳集﹐本朝名媛詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集","王鴻緒序",""
640,"張氏","Zhang shi","","","","","","","","","女","清",1644,1911,"漢","閨中雜詠",1,"534","湖北通志﹐國朝閨秀正始集","",""
639,"蔣操","Jiang Cao","","","修瑞","Xiurui","","","","又作蔣修字潔操﹐武進人。小黛軒論詩詩作字修端。","女","清",1644,1911,"漢","《秋雲草》",1,"736","眾香詞﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
641,"黃荃","Huang Quan","","","逸佩","Yipei","","","正室","太學黃奉倩女﹐參政明宇公女孫也。諸生王路室。工書善琴﹐詩多高素﹐不為閨房體。《閨秀詞鈔》作“王璐室”。","女","清",1644,1911,"漢","《蕉隱居集》",1,"661","紅蕉集﹐擷芳集﹐本朝名媛詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩，名媛詩緯初編","",""
642,"周淑履","Zhou Shulü","","","","","","","正室﹐寡婦","侍衛周世祐女﹐諸生膠州高蔭林(又作柡)室。夫亡守節。據《清代閨秀集叢刊》，生年當在清順治七年（1650）至十四年（1657）間。夫高蔭栐，字山公，膠州人，南明大臣高弘圖曾孫，早歿。淑履守節，教三子讀書成名，遠近以女師尊之","女","清",1644,1911,"漢","《峽猿草一卷》、《綠窗小詠》",1,"380","山東通志﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","高鳳翰序",""
643,"趙氏(佟鍈妻)","Zhao shi (Tong Yang qi)","殘夢主人","Canmengzhuren","","","","","正室﹐寡婦","知府佟鍈室，早寡﹐進士濬母。 小黛軒論詩詩作樂浪人。","女","清",1644,1911,"漢","《殘夢樓稿》",1,"710","國朝閨秀正始集﹐小黛軒論詩詩","",""
644,"章有湘","Zhang Youxiang","橘隱居士","Juyinjushi","玉筐","Yukuang","令儀﹐無媯","Lingyi,Wugui","正室﹐寡婦","羅源知縣章簡次女﹐吳江進士桐城令孫中麟(振公)室。稱未亡人十七年。姊有源(瑞麟)﹐妹有渭(玉璜)。《詞綜》﹑《林下詞選》﹑《名媛繡鍼》有載。","女","明末清初",1628,1661,"漢","《澄心堂集》﹑《望雲草》﹑《再生集》﹐《訴天雜記》",1,"165","然脂集﹐宮閨氏籍藝文考略﹐婦人集﹐神釋堂脞語﹐寄姊俞夫人﹐讀寶鐙詩寄贈﹐本朝名媛詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩，名媛詩緯初編","夏荊隱序",""
645,"吳玉音","Wu Yuyin","","","珮環","Peihuan","","","","","女","清",1644,1911,"漢","",1,"","國朝閨秀正始集","",""
646,"范姝","Fan Shu","","","洛仙","Luoxian","","","正室","詩人范獻重姪女﹐舉人李延公室。《閨秀詞鈔》所引《眾香詞》註﹐為稚皋詩人范獻重姪女。與周羽步﹑吳蕊仙交往倡和甚密。然脂集作李僊原妻。","女","清初",0,0,"漢","貫月舫集",1,"446","（徐乃昌）閨秀詞鈔﹐通州志﹐然脂集﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
647,"黃之柔","Huang Zhirou","玉琴","Yuqin","靜宜","Jingyi","","","正室","知府江都吳綺(薗次)室。按吳綺字半蘭，號聽翁，一號葹叟，別號紅豆詞人。江蘇江都人。生於明萬歷四十七年，卒於康熙三十三年。貢生。官浙江湖州府知府。著有林蕙堂集二十六卷。清史列傳有傳。","女","明末清初",1628,1661,"漢","《玉琴齋集》《詞苑叢談》《名媛繡鍼》",1,"657","重修揚州府志﹐擷芳集﹐江蘇詩徵﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
648,"翁桓","Weng Huan","","","少君","Shaojun","","","正室","翁汝遇女﹐布衣胡介室。小黛軒論詩詩作翁垣。","女","清",1644,1911,"漢","秋水堂遺稿",1,"488","杭州府志﹐兩浙輶軒續錄﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩，名媛詩緯初編","",""
649,"繆孟翹","Miao Mengqiao","冬青子","Dongqingzi","樊君","Fanjun","","","未嫁","樊君未婚守志﹐以貞女稱﹐故自號冬青子云。","女","清",1644,1911,"漢","《恤緯吟草》",1,"766","江陰縣續志﹐國朝閨秀正始集﹐小黛軒論詩詩﹐女世說","",""
650,"邱紹英","Qiu Shaoying","伴航","Banhang","少雲","Shaoyun","","","","","女","清",1644,1911,"漢","伴航集",1,"403","蘇州府志﹐擷芳集﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
652,"沈綺","Shen Qi","","","素君","Sujun","","","正室","諸生殷墫室。年僅二十一卒。","女","清",1644,1911,"漢","《環碧軒詩集四卷文集四卷四六二卷》﹑《唾花詞一卷》﹑《管窺一得十二卷》﹑《徐庾補註四卷》",1,"370","國朝閨閣詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
653,"邵氏(汪烈妻)","Shao shi (Wang Lie qi)","","","","","","","正室","汪烈室。","女","清",1644,1911,"漢","",1,"","國朝閨秀正始集","",""
654,"葉鳳威","Ye Fengwei","","","虞廷","Yuting","","","","","女","清",1644,1911,"漢","《抱月吟》",1,"686","擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
655,"朱柔則","Zhu Rouze","","","順成","Shuncheng","道珠","Daozhu","正室","諸生沈方舟(用濟)室﹐柴季嫺媳。 ","女","清康熙",1662,1722,"漢","《嗣音軒詩鈔》",1,"278","杭州府志﹐擷芳集﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐女世說","",""
656,"陳奇芳","Chen Qifang","","","蘭佩","Lanpei","","","正室","舉人時敷五室。","女","清",1644,1911,"漢","",1,"","國朝閨秀正始集","",""
657,"汪瑤","Wang Yao","","","雲上","Yunshang","","","正室","諸生汪書紳女﹐布衣元和朱昂室。工駢體。","女","清",1644,1911,"漢","《拾翠軒吟稿文稿》",1,"357","蘇州府志﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
658,"范貞儀","Fan Zhenyi","一栢","Yibai","芳筠","Fangyun","柏如","Boru","正室﹐寡婦","范毅女﹐貢生高纕元佩蘭室。早寡。生卒年按《清代閨秀集叢刊》","女","清",1717,1767,"漢","《愁業集一卷》",1,"446","正始集﹐崑山胡氏書目﹐（徐乃昌）閨秀詞鈔﹐小黛軒論詩詩","史鳴臯序﹐邑乘傳﹐江大銳撰傳","高謨跋"
659,"王煒","Wang Wei","","","辰若","Chenruo","功史","Gongshi","正室","太原相國之裔﹐諸生海鹽陳光緯室。《閨秀詞鈔》註﹕字功史﹐號辰若。四川副史叔元公孫女﹐海鹽諸生陳緯度室。","女","明末清初",1620,1661,"漢","《燕譽樓稿》﹑《翠微樓集》、《續烈女傳》",1,"242","嘉興府志﹐擷芳集﹐眾香詞﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩，名媛詩緯初編","",""
660,"玉書","Yushu","","","藍英","Lanying","","","正室","遺其姓。諸生許松室。","女","清",1644,1911,"漢","《綠窗吟稿》",1,"824","國朝閨秀正始集﹐小黛軒論詩詩","",""
662,"許飛雲","Xu Feiyun","","","天衣","Tianyi","","","正室","貢生王又溟室。","女","清(mid-18th cent.)",0,0,"漢","《浮家集》、《燕游草》﹑《含英雜詠》",1,"561","蘇州府志﹐擷芳集﹐江蘇詩徵﹐王貞儀德風亭文集﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","王貞儀",""
663,"趙邠","Zhao Bin","藕莊居士","Ouzhuangjushi","周初","Zhouchu","","","正室","諸生汪上林室。小黛軒論詩詩作號墨莊居士。","女","清",1644,1911,"漢","《蘭閣遺詩一卷》",1,"704","杭州府志﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","汪上林撰行述",""
664,"蔣錦樓","Jiang Jinlou","","","","","","","正室","王某妻。","女","清",1644,1911,"漢","《錦樓詩草》",1,"736","香咳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
665,"查惜","Zha Xi","","","淑英","Shuying","","","正室","母翼昭﹐諸生馬思贊室。按思赞字寒中，号衎斋，又号南楼，又字仲安，一号渔村，海宁人。有《皆山堂诗》。思赞工诗及书。所居道古楼，插架悉宋元旧本，为东南藏书冠。”弟翼赞，字叔静，雍正癸卯进士，官山东观城知县。有《宝颖堂诗钞》。","女","清",1644,1911,"漢","《南樓吟香集六卷》",1,"428","杭州府志﹐國朝閨秀正始集","馬思贊﹐祝柔嘉﹐(母)翼昭序﹐查惜自序",""
666,"許雪棠","Xu Xuetang","","","","","","","","汪西顥津門雜詠為雪棠作也。","女","清",1644,1911,"漢","",1,"","國朝閨秀正始集﹐女世說","",""
667,"徐賢","Xu Xian","","","省齋","Xingzhai","","","正室","廣文徐基女史張汝傳女﹐貢生沈迪德室。汝傳詩名《繡餘集》﹐賢繼之﹐遂名《續繡餘集》。","女","清",1644,1911,"漢","《續繡餘集》",1,"480","松江府續志﹐擷芳集﹐國朝閨秀正始集","",""
668,"養易齋夫人","Yangyizhai Furen","","","","","","","正室﹐寡婦","學人一等男爵正紅旗珠亮室。清宗室女。早寡。其媳蘭軒夫人亦能詩﹐著蘭軒詩集。","女","清康熙",1662,1722,"滿","《養易齋集》",1,"818","國朝閨秀正始集﹐柳絮集﹐小黛軒論詩詩","",""
669,"吳茝春","Wu Chaichun","","","淑洲","Shuzhou","","","正室","中書吳南林女，同知婁縣王祖慶室。小黛軒論詩詩作吳茝椿﹐著蘭苦集。 ","女","清",1644,1911,"漢","《蘭谷集》",1,"312","擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","王祖慶序",""
670,"吳鳳儀","Wu Fengyi","香楣","Xiangmei","淑英","Shuying","","","正室","吳覲光女﹐姊若雲妹柔儀淑儀﹐諸生朱錦生室。著有《香楣小草》。小黛軒論詩詩作其夫朱綿生。","女","清",1644,1911,"漢","《香楣小草》﹐紅餘吟",1,"314","嘉定縣志﹐國朝閨秀正始集","",""
671,"劉世坤","Liu Shikun","","","同秀","Tongxiu","","","","","女","清",1644,1911,"漢","《劉世坤集一卷》",1,"713","湖南通志﹐衡陽縣志﹐國朝閨秀正始集","",""
672,"姜淑齋","Jiang Shuzhai","廣平內史","Guangpingneishi","","","","","正室","廣東布政使宋可發子婦。","女","清康熙",0,0,"漢","淑齋詩草",1,"424","擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
673,"張蘩","Zhang Fan","","","采于","Caiyu","","","正室","長洲張天一女弟﹐貢生吳士安室。","女","清初",1644,1722,"漢","《衡棲集》",1,"532","蘇州府志﹐擷芳集﹐本朝名媛詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","尤同序","岑巘跋"
674,"祁德瓊","Qi Deqiong","修嫣","Xiuyan","昭華","Zhaohua","卞客","Bianke","正室","明右副都御史巡撫江南蘇松祁忠惠公彪佳(弘吉)(1602-1645)第三女﹐母商景蘭﹐姊德淵(弢英)。侍御王公以寧孫諸生王穀韋(鰐叔)室。","女","明末清初",1628,1661,"漢","未焚集",1,"400","紹興府志﹐柳絮集﹐國朝閨秀正始集，名媛詩緯初編","商景蘭序",""
675,"祁德茝","Qi Dechai","","","湘君","Xiangjun","","","正室","明右副都御史巡撫江南蘇松祁忠惠公彪佳(弘吉﹑世培)(1602-1645)女﹐母商景蘭﹐德瓊妹﹐中翰沈公煃晃子諸生沈萃祉室。 沈子合配。","女","明末清初",1628,1661,"漢","寄雲草",1,"400","紹興府志﹐擷芳集﹐本朝名媛詩鈔﹐國朝閨秀正始集，名媛詩緯初編","",""
676,"朱德蓉","Zhu Derong","","","趙璧","Zhaobi","","","正室","太師忠定公燮元孫女，金吾公壽宜女，忠敏祁公彪佳次子諸生祁班孫(奕禧)室。夫婦工詩。","女","清",1644,1911,"漢","",1,"","本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩，名媛詩緯初編","",""
677,"陸湘水","Lu Xiangshui","","","秋濤","Qiutao","","","正室","諸生李文煥室。","女","清",1644,1911,"漢","林下吟",1,"616","湖北通志﹐擷芳集﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
678,"林蕙","Lin Hui","","","佳英","Jiaying","","","","","女","清",1644,1795,"漢","《香咳集》",1,"398","擷芳集﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐閩川閨秀詩話","",""
679,"茅玉瑗","Mao Yuyuan","","","小素","Xiaosu","","","","小素工畫。其母梁孟昭。","女","清",1644,1911,"漢","",1,"","國朝閨秀正始集，名媛詩緯初編","",""
680,"卞夢珏","Bian Mengjue","篆生","Zhuansheng","元文","Yuanwen","玄文","Xuanwen","正室","縣丞卞琳女﹐母吳嚴子﹐江都舉人劉師俊室。《閨秀詞鈔》注﹕卞夢鈺﹐上元人琳長女。舉人劉峻度繼室。","女","清",1644,1911,"漢","《繡閣遺草》《卞玄文詩》《家庭唱和集》",1,"217","擷芳集﹐眾香詞﹐詩媛八名家選﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐閨秀詞鈔﹐小黛軒論詩詩，名媛詩緯初編","張穉恭序﹐鄒斯漪小引",""
681,"碩塔哈","Shuotaha","","","","","","","","","女","清",1644,1911,"滿","",1,"","國朝閨秀正始集","",""
682,"麥又桂","Mai Yougui","獨醒老人","Duxinglaoren","芳蘭","Fanglan","","","正室","舉人麥霖(德沛)第七女﹐諸生何懷向室。姊英桂。年九十餘卒。外姪緯式。","女","清",1644,1911,"漢","謝庭詩草一卷",1,"621","廣州府志﹐廣東女子藝文考﹐國朝閨秀正始集","何其英序",""
683,"陸眷西","Lu Juanxi","","","初月","Chuyue","","","妾","又作福建莆田人。布衣余懷(1616-1696)側室。原籍莆田。按懷字澹心別號鬟持老人﹐流寓南京﹐卒于姑苏﹐有《板橋雜記》等行世。","女","明末清初",1628,1722,"漢","",1,"","本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩﹐閩川閨秀詩話，名媛詩緯初編","",""
684,"王靜淑","Wang Jingshu","隱蟬子","Yinchanzi","玉隱","Yuyin","淨琳，一真道人","Jinglin, Yizhendaoren","正室﹐寡婦","明僉事王思任(季重)(1575-1646)長女﹐妹端淑(玉映)﹐孝廉運同陳公汝元子文學陳樹勷妻。早寡。入空門，法名曰淨琳，號一真道人。按思任，字季重，號遂東。萬曆乙未，年二十有一成進士；賜歸娶。一生三仕三黜。清順治二年紹興失守，王思任移居鄉下，不入城、不剃發，絕食而亡，得年七十有二。有《王季重十種》傳世。文史諸臣列傳有傳。","女","清",1644,1911,"漢","《清涼集》﹐《青藤書屋集》",1,"255","眾香詞﹐擷芳集﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩，名媛詩緯初編","",""
685,"王端淑","Wang Duanshu","映然子","Yingranzi","玉映","Yuying","青蕪子﹐王瑞淑","Qingwuzi, Wang Ruishu","正室","明僉事（禮侍）王思任(季重)女﹐姊玉隱﹐太史丁文忠公子司理丁肇聖室。玉映天資高邁﹐父季重嘗撫而憐之曰﹐身有八男不易一女。毛西河選浙江閨秀詩﹐偶遺其作﹐玉映遂寄詩云﹐王嬙未必無顏色﹐爭奈毛君筆下何。西河亟索其集而選定之。按思任，字季重，號遂東。萬曆乙未，年二十有一成進士；賜歸娶。一生三仕三黜。清順治二年紹興失守，王思任移居鄉下，不入城、不剃發，絕食而亡，得年七十有二。有《王季重十種》傳世。文史諸臣列傳有傳。女世說作王瑞淑。","女","1621-ca. 1685",1621,1685,"漢","《玉映堂集》﹑《吟紅集》﹑《留篋集》﹑《恆心集》﹑《名媛詩緯》﹑《名媛文緯》(輯)",1,"248","然脂集﹐擷芳集﹐宮閨氏籍藝文考略﹐神釋堂脞語﹐本朝名媛詩鈔﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐女世說﹐名媛尺牘","丁肇聖序",""
686,"吳氏(汪某妻)","Wu shi (Wang mou qi)","棲梧閣主人","Qiwugezhuren","","","","","正室﹐寡婦","六合汪某室﹐年二十五而寡。","女","清",1644,1911,"漢","《秋鴻集》﹐《棲梧閣詩集》",1,"320","小黛軒論詩詩﹐國朝金陵詩徵﹐國朝閨秀正始集","",""
687,"蔣季錫","Jiang Jixi","","","蘋南","Pingnan","","","正室","監察御史蔣伊女﹐云贵总督陈锡和大學士諡文肅蔣廷錫(酉君)女弟，戶部郎中婁縣王圖煒妻(侍郎王與吾母)﹐年八十九卒。按蔣伊，康熙十二年进士，选庶吉士，授御史。陈锡，康熙二十四年进士，累官至云贵总督。子涟、泂皆進士。廷锡(1669-1732)，字扬孙，江南常熟人，清康熙舉人，云贵总督陈锡弟﹐賜進士，官至文華殿大學士﹐諡文肅。著有《尚書地理今釋》﹑《青桐軒》﹑《秋風》﹑《片雲》諸集。廷锡子溥，字质甫。雍正七年，赐举人。八年，进士，改庶吉士，直南书房，袭世职,谥文恪。子檙，进士。自编修累迁兵部侍郎；赐棨，初授云南楚雄知府，再至户部侍郎。并坐事夺官，左授光禄寺卿。复夺官，以世职守护裕陵。 小黛軒論詩詩作歸王圖炳﹐著挹清閣集。","女","清康熙雍正",0,0,"漢","《清芬閣集》《挹清閣集》《花譜》《鳥譜》",1,"734","江南通志﹐婁縣志﹐蘇州府志﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
688,"金法筵","Jin Fayan","","","","","","","正室","諸生金喟季女﹐諸生沈六書室。","女","清",1661,1722,"漢","惜春軒詩一卷",1,"405","蘇州府志﹐擷芳集﹐國朝閨秀正始集﹐蘭閨寶錄","",""
689,"顧英","Gu Ying","蘭谷","Langu","若憲","Ruoxian","","","正室","顧安女﹐知縣青浦張鳳孫(之頊)室。女張藻字于湘即畢秋帆尚書之母。年六十二﹐終于貴陽官舍。","女","清",1644,1911,"漢","《挹翠閣詩鈔》",1,"803","蘇州府志﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
690,"商采","Shang Cai","","","雲衣","Yunyi","","","正室","諸生羅萼青室。","女","清",1644,1911,"漢","《散花吟》、《花閒草》、《綠窗草》",1,"503","紹興府志﹐眾香詞﹐擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
691,"張令儀","Zhang Lingyi","蠹窗主人","Duchuangzhuren","柔嘉","Roujia","","","正室","大學士諡文端張英長女，姚湘門室﹐惠潮道孔鈵母。按張英(1637-1708)，字敦復，江南桐城人。康熙六年進士，選庶吉士。累遷至兵部侍郎﹑工部尚書。卒謚文端。著有《篤素堂詩集》﹑《篤素堂詩集文集》﹑《篤素堂雜集》﹑《存誠堂詩集》﹑《南巡扈從紀略》﹑《易經衷論》﹑《四庫著錄》﹑《聰訓齋語》﹑《恆產瑣言》等。子廷瓚，字卣臣。康熙十八年進士，自編修累官少詹事。先英卒。廷玉，字衡臣，康熙三十九年進士，改庶吉士﹐散館授檢討，直南書房，後官至軍機大臣﹑武英殿大學士。廷璐，字寶臣。康熙五十七年，殿試一甲第二名進士，授編修，直南書房，遷侍講學士。雍正元年，督学河南，坐事奪職。尋起侍講，遷詹事。兩督江蘇學政。廷彖，字桓臣。雍正元年進士，自編修累官工部侍郎，充日講官。自英後，以科第世世其家，四世皆為講官。 小黛軒論詩詩作吳興沈湘門室。 生卒年按<清代閨秀集叢刊>.另據《清代閨秀集叢刊》，夫姚士封，字玉笥，號湘門，康熙六年（1667）進士，姚文熊第三子。令儀中年喪夫，撫子姚孔鑾、姚鋐及一女成人。工詩文，筆力清穎，詞旨溫厚。張廷玉號研齋","女","1668-1752",1668,1752,"漢","《蠹窗詩集》十二卷、《蠹窗詩餘》一卷、《蠹窗文集》一卷",1,"508","桐城縣志﹐正始集﹐販書偶記﹐崑山胡氏書目﹐蠹窗文集﹐國朝閨閣詩鈔﹐小檀欒室彙刻百家閨秀詞﹐小黛軒論詩詩﹐閨秀詞話","張圃翁﹐方正玉﹐張廷玉、張令儀序",""
694,"楊素書","Yang Sushu","種竹人","Zhongzhuren","","","","","正室","楊文淳四女﹐諸生會稽竇德輝室。","女","清",1644,1911,"漢","《茗香樓集》",1,"674","擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
696,"艷雪","Yanxue","","","","","","","妾","佟蔗邨側室。","女","清",1644,1911,"滿","",1,"","國朝閨秀正始集","",""
697,"陳淑英","Chen Shuying","宜齋","Yizhai","","","","","正室","又作陳淑媖。孝廉于振翀妻﹐訓導于融母。 小黛軒論詩詩作曹縣人。","女","清",1644,1911,"漢","《碧香閣小草》",1,"589","河北通志稿﹐擷芳集﹐國朝閨秀正始集﹐柳絮集﹐小黛軒論詩詩","",""
698,"方筠儀","Fang Yunyi","","","","","","","正室﹐寡婦","左文全室。年二十六守節。","女","清",1644,1911,"漢","《含貞閣集》",1,"226","桐城縣志﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
699,"張粲","Zhang Can","","","疎影","Shuying","","","妾","漢陽戶部員外郎許承欽側室。《閨秀詞鈔》註為農部許承欽（漱雪）副室。《眾香詞》有載。歷代婦女著作考作著適燕雜詠。","女","清初",0,0,"漢","《適燕吟》",1,"524","然脂集﹐擷芳集﹐宮閨氏籍藝文考略﹐神釋堂脞語﹐（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
700,"顏玉","Yan Yu","","","","","","","正室","","女","清康熙",0,0,"漢","",1,"","國朝閨秀正始集﹐閨秀詩話","",""
701,"高氏(岳鍾琪妻)","Gao shi (Yue Zhongqi qi)","","","","","","","正室","大將軍威信公諡襄勤岳鍾琪室。按岳鍾琪(1686-1754)﹐四川成都人。康熙末年率軍人西藏平亂，雍正時隨年奠堯作戰，官至川陝總督，任寧遠大將軍。雍正末年，以「誤國負恩」罪免官。乾隆時再起，參與大金川之戰。  ","女","清雍正前後",0,0,"漢","高夫人集四卷",1,"501","華陽縣志﹐國朝閨秀正始集﹐小黛軒論詩詩","",""
702,"郝湘娥","Hao Xiang'e","","","","","","","妾","竇鴻側室。湘娥十六為鸿妾，能诗善弈，画兼工花草士女。有绳其才者，豪家谋夺之，不能。嗾盗诬鸿死，湘娥因自经。将死，为绝命词。 ","女","清",1644,1911,"漢","",1,"","（徐乃昌）閨秀詞鈔﹐國朝閨秀正始集，名媛詩緯初編","",""
703,"烏梁海熙春","Wulianghai Xichun","","","","","","","正室","布政使佛喜室。","女","清",1644,1911,"蒙古","《友蓮堂合璧詩存》",1,"818","國朝閨秀正始集﹐小黛軒論詩詩","",""
704,"王演之","Wang Yanzhi","","","覺菴","Juean","","","正室","壬午副榜王沺女弟﹐張萬策妻。","女","清",1644,1911,"漢","彫華稿",1,"247","擷芳集﹐國朝閨秀正始集","張萬策序",""
705,"呂畹蘭","Lü Wanlan","","","韻玉","Yunyu","","","正室","山西汾州府同知呂暄亭女﹐上舍謝榕室。","女","清",1644,1911,"漢","畹蘭小草﹐春草山房詩鈔",1,"321","擷芳集﹐清代閨秀詩鈔﹐國朝閨秀正始集﹐武進陽湖誌","呂畹蘭自序",""
706,"姚允迪","Yao Yundi","","","蕴生","Yunsheng","","","正室","觀察姚培和次女，崑山知縣戴鳴球室。著有《秋琴閣詩鈔》。","女","清",1644,1911,"漢","《秋琴閣詩鈔》",1,"416","擷芳集﹐國朝閨秀正始集﹐小黛軒論詩詩","姚念曾撰傳",""
707,"吳曇素","Wu Tansu","","","雯華","Wenhua","曇雲","Tanyun","正室","同郡貢生葉舒璐(景鴻)室。","女","清康熙雍正間",1662,1735,"漢","《采秀閣吟草一卷》《香奩詩稿》",1,"316","蘇州府志﹐擷芳集﹐黛吟草﹐本朝名媛詩鈔﹐國朝閨秀正始集﹐小黛軒論詩詩","","葉舒璐，沈俊百跋"
708,"武德班","Wu Deban","","","","","","","","","女","清",1644,1911,"","",1,"","國朝閨秀正始集","",""
