id,书院名id(CBDB),书院id(CBDB),书院名,建院时间,建院年号,建院朝代,建書院者,繁盛朝代,书院地址,书院地址x坐标,书院地址y坐标,建築,建築時間,經費來源,經費數目,捐贈者,捐贈物資,捐贈時間,是否有藏書,是否有藏書備註,改建/擴建/重修者,改建/擴建/重修時間,重建者,重建時間,祀Y,書院類型,書院類型備註,出版物類型,出版物時間,重大事件,任職/學生,任職/就學時間,別稱,並稱,學派備註,被毀時間,被毀時間備註,設定制度者,設定制度時間,出版物,改制名稱,改制時間,信息來源,前身信息,经济制度,招生制度,藏书,书院制度,销毁的建筑（时间）,书院出处,书院出处页码,备注,信息收集
227,119,200,共山書院,1317,,蒙古元,,蒙古元,汲縣,114.070267,35.410385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Liu Guan, 16.1a-2b",
228,120,201,緱山書院,1341,,蒙古元,,蒙古元,安陽,114.345497,36.098343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Xu Youren, 43.34b-36a",
229,125,207,廣平書院,1275,,南宋,,,奉化州,121.4069061,29.6516571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wang Yinglin, Siming wenxian ji, 1.16b-18b; Ningbo fu jianyao zhi, 9.472",
230,126,208,廣信書院,,,蒙古元,,蒙古元,鉛山州,117.7765884,28.2084465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,8731,,
231,126,3874,廣信書院,1196,承安,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,307,"多个出處:宋代書院與宋代學術之關係P307;江西古代書院研究P109,225;元代書院之地理分佈P366.",
232,127,209,龜山書院,,,蒙古元,,蒙古元,杭州路,120.1686249,30.2941246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,1935,from L.Walton: 大明一統志 38.13b,
233,127,210,龜山書院,1230,,南宋,,,常州路,119.952301,31.78278351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from L.Walton: 大明一統志 10.9a,
234,127,211,龜山書院,1225,,南宋,,,將樂,117.455017,26.720821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Liu Chenweng, 1.5b-7a",
235,127,3086,龜山書院,1112,政和,南宋,,,武進,119.952301,31.782784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元代書院之地理分佈,390,"多个出處:元代書院之地理分佈P390;中國古代的書院制度P29,50;中國書院制度考略P20.",
236,127,3598,龜山書院,1300,大德,蒙古元,,,慈溪,121.444199,29.979195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中國古代的書院制度,51,多个出處:中國古代的書院制度P51;中國書院制度考略.,
237,128,212,古靈書院,1363,,蒙古元,,蒙古元,姚州,101.2667084,25.5120697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wei Su, 10.10b-11a",
238,128,3067,古靈書院,1075,天賜禮盛國慶,西夏,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,317,多个出處:宋代書院與宋代學術之關係P317;元代書院之地理分佈P380.,
239,131,215,涵江書院,1247,,南宋,,蒙古元,興化路,119.0111008,25.43395424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,8754,"from L.Walton: Sun 40 (Fujian #25); 大明一統志 77.27b; Fujian tongzhi 63.4a-b (1835); SS 421/180, 12586; SYXA supp70.39b7",
240,132,216,韓山書院,1284,,蒙古元,,蒙古元,海陽,116.636658,23.667706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wu Cheng, 20.23b-25b; 大明一統志 80.21b [Chengnan shuzhuang]; Guangdong shuyuan zhidu, p.18",
241,133,217,和靖書院,,,蒙古元,,蒙古元,平江路,120.6186218,31.31270981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,2410,"from L.Walton: Zheng Yuanyu, Wudu wencui (SKQS ed.), 13.22b-24a",
242,133,218,和靖書院,,,蒙古元,,蒙古元,會稽,120.578262,30.004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,4280,"from L.Walton: Dai Biaoyuan, 10.3a-4b; 大明一統志 8.9a",
243,133,219,和靖書院,,,蒙古元,,蒙古元,杭州路,120.1686249,30.2941246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,9742,,
244,133,3325,和靖書院,1235,端平,南宋,,,長洲,120.618622,31.31271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中國古代書院發展史,10;34,"多个出處:中國古代書院發展史P10,34;宋代書院與宋代學術之關係P331;元代書院之地理分佈P388.",
245,133,3599,和靖書院,1300,大德,蒙古元,,,會稽,120.578262,30.004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元代書院之地理分佈,378,多个出處:元代書院之地理分佈P378;中國古代的書院制度P51;中國書院制度考略P21.,
246,135,221,河南書院,,,蒙古元,,蒙古元,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: YR I.517; Cheng Jufu, 5.8a",
247,136,222,鶴山書院,1330,,蒙古元,,蒙古元,平江路,120.6186218,31.31270981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Yu Ji, 3.2a-5a; 9a-10b [Zhonghua wenshi congshu ed.]; 大明一統志 8.9a",
248,136,3262,鶴山書院,1206,應天,西夏,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,330,多个出處:宋代書院與宋代學術之關係P330;元代書院之地理分佈P394;四川書院史P26.,
249,136,3283,鶴山書院,1210,皇建,西夏,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,325,多个出處:宋代書院與宋代學術之關係P325;元代書院之地理分佈P387.,
250,136,3284,鶴山書院,1210,皇建,西夏,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,330,多个出處:宋代書院與宋代學術之關係P330;四川書院史P26.,
251,136,3327,鶴山書院,1236,端平,南宋,,,吳縣,120.618622,31.31271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中國古代書院發展史,10;34,"多个出處:中國古代書院發展史P10,34;宋代書院與宋代學術之關係P331;元代書院之地理分佈P389;中國古代的書院制度P28,52;中國書院制度考略.",
252,140,234,懷德書院,1348,,蒙古元,,蒙古元,河南行中書省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wei Su, Shuoxue zhaigao [e-SKQS], 1.42a-44a",
253,140,3532,懷德書院,1300,大德,蒙古元,,,六安州,116.4941177,31.7545948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,141,235,淮海書院,1295,,蒙古元,,蒙古元,鎮江路,119.4442902,32.20648956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,103,"from L.Walton: Zhixun Zhenjiang zhi, 11.27b-32a; 大明一統志 11.6a",
255,142,236,化龍書院,,,蒙古元,,蒙古元,建陽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,12223,,
256,143,237,黃崗書院,,,蒙古元,,蒙古元,杭州路,120.1686249,30.2941246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,5419,,
257,144,238,皇岡書院,1345,,蒙古元,,蒙古元,海寧州,120.5374985,30.40628052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from L.Walton: Wei Su 10.10b-11b (1361); 大明一統志 38.13b [lists under this location a Huang'gang 黃岡 which must be a mistake for Imperial Ridge],
258,146,250,晦菴書院,,,蒙古元,,蒙古元,婺源州,117.8445892,29.24472809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,2228,"from L.Walton: Liu Guan, 15.15b-18b; 天下, .215",
259,150,258,建安書院,,,蒙古元,,蒙古元,建安,118.323784,27.038864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from L.Walton: ,
260,152,260,江東書院,,,蒙古元,,蒙古元,建康路,118.76899,32.05256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,9378,,
261,152,261,江東書院,1321,,蒙古元,,蒙古元,集慶路,118.7689896,32.05256271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Cheng Duanli, Xuehai leibian, 1a-5a (lecture); Jinling xinzhi, 9.30a",
262,152,3298,江東書院,1221,興定,金,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,334,,
263,156,267,稼軒書院,1298,,蒙古元,,蒙古元,信州路,117.9648895,28.45069122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,11434,"from L.Walton: Dai Biaoyuan, 10.6a-7a",
264,156,3253,稼軒書院,1196,承安,金,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,307,"多个出處:宋代書院與宋代學術之關係P307;江西古代書院研究P109,225;元代書院之地理分佈P366.",
265,156,3600,稼軒書院,1300,大德,蒙古元,,,安慶路,117.0346756,30.51229477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中國古代的書院制度,51,多个出處:中國古代的書院制度P51;中國書院制度考略P21.,
266,156,3789,稼軒書院,1181,天禧,西遼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,306,多个出處:宋代書院與宋代學術之關係P306;江西古代書院研究P108.,
267,169,296,景賢書院,1327,,蒙古元,,蒙古元,宣德,113.1113434,40.37184906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Xu tongkao, 51; He Youshen, p.400; YS 138.3326; Huang Jin, Jinhua Huang xiansheng wenji [SBCK],28.9a",
268,169,3540,景賢書院,1300,大德,蒙古元,,,合肥,117.276459,31.864456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,170,297,景星書院,,,蒙古元,,蒙古元,江州路,115.9856796,29.72236443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,9668,from L.Walton: Jiangxi tongzhi 82.42a; 大明一統志 52.21a,
270,172,299,靜修書院,1312,,蒙古元,,蒙古元,新安,115.928207,38.925182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wei Su, 5.12b-13b",
271,172,3620,靜修書院,1302,大德,蒙古元,,,安州,115.9282074,38.92517853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元代書院之地理分佈,399,,
272,173,300,靖忠書院,,,蒙古元,,蒙古元,彭澤,116.551216,29.896095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from L.Walton: 大明一統志 52.21a,
273,174,301,金華書院,1350,,蒙古元,,蒙古元,東川路,103.2542038,26.3649807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,from L.Walton: 大明一統志 71.6a,
274,174,3729,金華書院,1349,至正,蒙古元,,,射洪,105.276024,30.989159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元代書院之地理分佈,395,多个出處:元代書院之地理分佈P395;四川書院史P59.,
275,176,304,錦沿書院,,,蒙古元,,蒙古元,安仁,116.903259,28.40443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,9300,"from L.Walton: Sun 32 (Jiangxi #88); Jiangxi tongzhi, 82.26a; 大明一統志 50.7b",
276,178,306,稽山書院,,,蒙古元,,蒙古元,諸暨州,120.2276611,29.71313667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,1608,,
277,178,307,稽山書院,,,蒙古元,,蒙古元,山陰,120.578262,30.004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,8816,,
278,181,310,吉州書院,,,蒙古元,,蒙古元,吉州,110.6751709,36.09563065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,294,,
279,183,350,考亭書院,,,蒙古元,,蒙古元,建陽,118.10537,27.33988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,2525,,
280,184,351,柯山書院,,,蒙古元,,蒙古元,衢州路,118.8676453,28.95682144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,12536,"from L.Walton: SYXA:supp 84.13a; 大明一統志 43.7b; Zhejiang tongzhi 28.710 [UCB ed.]; Fang Hui, Tongjiang xuji, 31.20 (""Preface on Seeing off Keshan Hea大明一統志aster Huang Zhengzhi 黃正之"")",
281,185,352,藍山書院,1282,,蒙古元,,蒙古元,弋陽,117.421311,28.401876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,7542,"from L.Walton: 大明一統志 51.6b; Yu Ji, [Taiwan Huawen shuju 1911 photoreprint ed.], 4.7b-10a; Cheng Duanli [SMCS ed.], 5.1a-3b; SYXA:supp.84.35b4",
282,186,353,蘭亭書院,,,蒙古元,,蒙古元,山陰,120.578262,30.004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,9162,"from L.Walton: Yuan Jue, 23.9b-10a (""Preface on Sending Off Hea大明一統志aster Chen"")",
283,187,354,蘭玉書院,,,蒙古元,,蒙古元,安福州,114.6084518,27.38246155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Liu Chenweng, 3.4a-6a",
284,188,355,老泉書院,,,蒙古元,,蒙古元,文安,116.464562,38.864807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: X u Youren, Zhizheng ji, 70.11b-13a",
285,190,358,廉溪書院,1248,,南宋,,,南安路,114.3628311,25.39931107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wang Li, 6.1a-3a",
286,191,359,濂溪書院,,,蒙古元,,蒙古元,丹徒,119.4442902,32.20648956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,8312,"from L.Walton: Zhixun (1330-1) Zhenjiang zhi, 11.32b-34a; 大明一統志 11.6a",
287,191,360,濂溪書院,,,蒙古元,,蒙古元,項城,115.063705,33.397488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,8983,,
288,191,361,濂溪書院,,,蒙古元,,蒙古元,江州,115.9856796,29.72236443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,12570,,
289,191,362,濂溪書院,,,蒙古元,,蒙古元,龍南,114.784775,24.899044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,13407,,
290,191,2910,濂溪書院,1119,宣和,南宋,,,郴州,113.025139,25.802719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,325,,
291,191,2912,濂溪書院,1119,宣和,南宋,,,新化,111.274796,28.009674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,324,,
292,191,2987,濂溪書院,1119,宣和,南宋,,,陽江,111.958946,21.845419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,329,多个出處:宋代書院與宋代學術之關係P329;元代書院之地理分佈P392.,
293,191,3012,濂溪書院,1119,宣和,南宋,,,萍鄉,113.838638,27.631424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,302,多个出處:宋代書院與宋代學術之關係P302;江西古代書院研究P226.,
294,191,3075,濂溪書院,1068,熙寧,南宋,,,德慶府,111.771019,23.146791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,329,,
295,191,3145,濂溪書院,1134,康國,西遼,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,324,,
296,191,3221,濂溪書院,1176,淳熙,南宋,,,江州,115.9856796,29.72236443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,310,多个出處:宋代書院與宋代學術之關係P310;江西古代書院研究P225.,
297,191,3255,濂溪書院,1198,承安,金,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,304,"多个出處:宋代書院與宋代學術之關係P304;江西古代書院研究P109,227.",
298,191,3295,濂溪書院,1218,興定,金,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,326,,
299,191,3296,濂溪書院,1219,興定,金,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中國古代書院發展史,13;35,"多个出處:中國古代書院發展史P13,35;宋代書院與宋代學術之關係P324;元代書院之地理分佈P387;中國古代的書院制度P28.",
300,191,3314,濂溪書院,1226,寶義,西夏,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江西古代書院研究,111;226,"多个出處:江西古代書院研究P111,226;元代書院之地理分佈P371.",
301,191,3394,濂溪書院,1264,至元,蒙古元,,,四會,112.694534,23.348709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,328,多个出處:宋代書院與宋代學術之關係P328;元代書院之地理分佈P392.,
302,191,3484,濂溪書院,1300,大德,蒙古元,,,合州,106.2595596,30.00394249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元代書院之地理分佈,394,,
303,191,3760,濂溪書院,1064,治平,南宋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中國古代書院發展史,5;35,"多个出處:中國古代書院發展史P5,35;宋代書院與宋代學術之關係P301.",
304,191,3781,濂溪書院,1170,乾道,南宋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中國古代書院發展史,13;35,"多个出處:中國古代書院發展史P13,35;宋代書院與宋代學術之關係P326;中國古代的書院制度P28.",
305,192,363,靈谷書院,,,蒙古元,,蒙古元,貴溪,117.202271,28.287901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: 王禕, 王忠文集 [e-SKQS] 8.26b-30a",
306,197,370,臨汝書院,1249,,南宋,,蒙古元,臨川,116.351341,27.984781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,9673,"from L.Walton: Wu Ch'eng, 20.28a-29b (1322 inscription on restoration of Revering Classics Pavilion); Yu Ji, 31.16b-19a (1341 inscription on restoration of Linru Academy's south lake); NanSong wenfan, 46.12a-b (Huang Zhen's inscription on the hea大明一統志aster hall); 大明一統志 54.8a",
307,197,3545,臨汝書院,1300,大德,蒙古元,,,蕪湖,118.362618,31.334949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,198,371,臨汀書院,,,蒙古元,,蒙古元,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,12130,,
309,199,372,歷山書院,1290,,蒙古元,,蒙古元,濮州,115.5035629,35.67287064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Cheng Jufu, 12.13b-14b",
310,200,373,李氏山房書院,1226,,南宋,,,建昌州,115.7618179,29.0878315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wu Cheng, 41.9b-12a [SKQS ed.]",
311,200,3317,李氏山房書院,1226,寶義,西夏,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江西古代書院研究,111;225,,
312,201,374,柳塘書院,1300,,蒙古元,,蒙古元,樂安,115.831779,27.426289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: 大明一統志 54.8b;Tianxia, 530",
313,201,2915,柳塘書院,1119,宣和,南宋,,,新建,115.89772,28.674896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,300,,
314,202,375,麗澤書院,,,南宋,,蒙古元,金華,119.649918,29.104712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,6189,,
315,204,378,龍川書院,,,蒙古元,,蒙古元,武昌路,114.3066635,30.57366943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,5129,,
316,204,2917,龍川書院,1119,宣和,南宋,,,永康,120.025253,28.897268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,316,,
317,206,380,龍崗書院,,,蒙古元,,蒙古元,樂安,115.831779,27.426289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Tianxia,  530-32",
318,208,387,龍江書院,,,蒙古元,,蒙古元,福清州,119.3814392,25.72791672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,12713,,
319,208,3657,龍江書院,1326,泰定,蒙古元,,,漳州路,117.6530533,24.51174355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元代書院之地理分佈,379,,
320,208,3767,龍江書院,1203,嘉泰,南宋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,322,多个出處:宋代書院與宋代學術之關係P322;元代書院之地理分佈P379;中國古代的書院制度P28.,
321,209,388,龍眠書院,1330,,蒙古元,,蒙古元,舒城,116.938538,31.456448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Jie Xisi , 10.4b-6a; Longshan shuyuan zhi (v.8)",
322,212,410,龍溪書院,,,蒙古元,,蒙古元,萬安,114.779678,26.461771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,13010,"from L.Walton: 大明一統志 56.11a; Jiangnan tongzhi, 81.50b; YR I.39",
323,212,3293,龍溪書院,1216,至寧,金,,,[未詳],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,334,,
324,212,3797,龍溪書院,1198,承安,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,304,"多个出處:宋代書院與宋代學術之關係P304;江西古代書院研究P109,227.",
325,215,428,龍澤書院,,,蒙古元,,蒙古元,崇安,118.026779,27.756025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Liu Guan, 18.15b-16a",
326,215,3818,龍澤書院,1246,淳祐,南宋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江西古代書院研究,"112, 114;225","多个出處:江西古代書院研究P112,114,225;元代書院之地理分佈P364.",
327,216,429,落西書院,1314,,蒙古元,,蒙古元,永寧,111.653404,34.385807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Cheng Zhufu, Xuelou ji, [SKQS ed.], 22.1a-2b; Yuan Jue, Qingrong jushi ji [SBBY ed.],18.3a-b; SYXA: supp.90.130b3",
328,217,430,陸宣公書院,,,蒙古元,,蒙古元,嘉興路,120.7532044,30.76746941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Liu Ji, Chengyibo wenji [e-SKQS], 9.26b-29b",
329,218,431,魯齋書院,1315,,蒙古元,,蒙古元,奉元路,108.9371872,34.31798554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,1768,"from L.Walton: 程鉅夫, 程雪楼集 [e-SKQS ed], 1.3a-b; 13.25b-28a; Xu Youren, Guitang xiaogao [e-SKQS], 6.10b-13a; Zhang Yanghao, Yuan Zhang wenzhong gong Guitian leigao [1790 ed.], 4.14b-16a.",
330,218,432,魯齋書院,1340,,蒙古元,,蒙古元,鄞縣,121.542656,29.866316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,8220,"from L.Walton: Zhizheng, 8.12b; Zhu Derun, Cunfu zhai wenji [SBCK: xubian ed], 2.4b-5b",
331,218,3548,魯齋書院,1300,大德,蒙古元,,,河內,112.936989,35.089302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,220,435,茅山書院,,,蒙古元,,蒙古元,金壇,119.5706177,31.74697876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,13265,"from L.Walton: Zhixun Zhenjiang zhi,11.34a-35b",
333,221,436,鄮山書院,1298,,蒙古元,,蒙古元,鄞縣,121.542656,29.866316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,4440,"from L.Walton: Yanyou, 14.22a-23a (22a-23a Yuan Jue inscription); Yuan Jue, 18.2a-b [SBBY ed.]; 18.318-19 [Zhonghua ed.] latter two identical, but YY one is longer and differs.",
334,222,437,馬洲書院,,,蒙古元,,蒙古元,泰興,120.016167,32.160381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wang Feng, Wuxi ji [e-SKQS], 2.18a-19a",
335,223,438,美化書院,,,蒙古元,,蒙古元,縉雲,120.058441,28.648392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,5049,"from L.Walton: Dai Biaoyuan , 1.4b-6a; TMTC 44.8b",
336,224,439,梅江書院,1241,,南宋,,,寧都州,116.0101013,26.46651459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from L.Walton: Wei Su, 4.11b-12b [also in Tianxia, 8.94-95a (pp.760-761); 大明一統志 58.7a; Jiangxi tongzhi, 82.55",
337,225,440,蒙山書院,,,蒙古元,,蒙古元,東陽,120.227981,29.260567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元人傳記資料索引,524,from L.Walton: YR I.93,
338,225,3405,蒙山書院,1268,咸淳,南宋,,,新喻,114.931137,27.804075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋代書院與宋代學術之關係,302,多个出處:宋代書院與宋代學術之關係P302;江西古代書院研究P217.,
